@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
59,'2019/05/12 08:40:55:367',1,241.215637,381.141785,49.116985,285.413818,365.980225,64.905548,318.988922,366.815125,67.95314,355.421204,367.173889,66.800232,400.171326,369.160706,62.719967,0,0,103.857307,0.812449,8.263215,-12.314749,?,?,?,?,?,?,0,?,0
60,'2019/05/12 08:40:55:417',1,242.270966,381.32785,49.241245,286.850952,366.419891,65.040237,320.423309,367.465668,68.083603,356.856018,368.033478,66.927307,401.631714,369.986328,62.844154,0,0,98.063614,1.180431,8.328245,-12.214813,?,?,?,?,?,?,0,?,0
61,'2019/05/12 08:40:55:470',1,250.656418,382.065887,49.816978,296.477661,367.655914,65.597366,330.10733,369.015472,68.6082,366.514618,369.692719,67.421577,411.08078,371.752319,63.300804,0,0,92.555313,1.760326,8.291736,-11.735839,?,?,?,?,?,?,0,?,0
62,'2019/05/12 08:40:55:516',1,270.394806,384.434784,50.732914,318.957886,370.077179,66.421227,352.980408,371.535156,69.345398,389.28302,372.137634,68.072159,433.237762,374.056732,63.844784,0,0,84.316689,1.711322,8.329924,-10.610848,?,?,?,?,?,?,0,?,0
63,'2019/05/12 08:40:55:567',1,284.453278,386.058929,51.07299,334.651978,371.78656,66.68428,368.993927,373.167694,69.548309,405.198517,373.699585,68.21579,448.732941,375.454346,63.916645,0,0,77.560402,1.555996,8.300508,-9.861831,?,?,?,?,?,?,0,?,0
64,'2019/05/12 08:40:55:616',1,302.404846,388.142181,51.761066,355.805603,374.268127,67.204712,390.697815,375.585144,69.946411,426.644684,375.980164,68.495499,469.324615,377.666595,64.054512,0,0,68.615379,1.559356,8.038685,-8.320154,?,?,?,?,?,?,0,?,0
65,'2019/05/12 08:40:55:667',1,314.236816,389.752594,52.40086,369.927948,376.17157,67.734489,405.180206,377.469421,70.388168,440.952881,377.597778,68.853493,483.002258,379.130005,64.311935,0,0,62.462826,1.281261,7.787011,-7.256499,?,?,?,?,?,?,0,?,0
66,'2019/05/12 08:40:55:720',1,318.466187,390.335022,52.534809,374.510986,376.810913,67.849968,409.851654,378.071167,70.487701,445.55603,378.145477,68.937874,487.541016,379.563629,64.3797,0,0,59.335934,1.147906,7.749407,-7.080743,?,?,?,?,?,?,0,?,0
67,'2019/05/12 08:40:55:770',1,322.336914,391.02002,52.549141,378.252625,377.569305,67.874649,413.622742,378.697327,70.510757,449.329468,378.73996,68.960861,491.29425,379.973022,64.403275,0,0,56.768158,0.863766,7.618828,-7.116353,?,?,?,?,?,?,0,?,0
68,'2019/05/12 08:40:55:818',1,323.009766,391.219696,52.544334,378.868774,377.726135,67.87059,414.247009,378.856842,70.507034,449.971191,378.956268,68.957634,491.937988,380.062408,64.400925,0,0,55.297863,0.791736,7.630867,-7.130938,?,?,?,?,?,?,0,?,0
69,'2019/05/12 08:41:16:967',2,514.251465,322.174469,56.606384,433.940002,321.764099,70.249138,397.293762,318.862549,71.757622,366.145874,319.030823,69.229279,337.318329,319.990601,63.71843,0,0,82.305656,179.070618,1.738882,-5.643729,?,?,?,?,?,?,1,?,1
70,'2019/05/12 08:41:17:017',2,514.391113,322.153961,56.600456,434.154755,321.777222,70.246017,397.485962,318.939697,71.758163,366.317535,319.047729,69.226883,337.528595,320.02597,63.717945,0,0,79.965233,179.027069,1.728746,-5.632195,?,?,?,?,?,?,1,?,1
71,'2019/05/12 08:41:17:066',2,514.545898,322.118866,56.601116,434.342377,321.762939,70.249405,397.653503,318.922516,71.761673,366.475067,319.026306,69.230103,337.739502,320.007965,63.721874,0,0,77.989021,178.99408,1.733669,-5.626802,?,?,?,?,?,?,1,?,1
72,'2019/05/12 08:41:17:115',2,514.831299,321.985748,56.657097,434.721405,321.630188,70.32196,398.07309,318.789734,71.840332,366.731476,318.949951,69.31488,338.091583,319.926666,63.812237,0,0,76.222389,178.921875,1.752593,-5.544723,?,?,?,?,?,?,1,?,1
73,'2019/05/12 08:41:17:166',2,514.86792,321.969971,56.658859,434.754883,321.627258,70.326996,398.162567,318.761414,71.846298,366.757233,318.950287,69.322693,338.157104,319.921814,63.821373,0,0,75.177567,178.904556,1.756931,-5.526442,?,?,?,?,?,?,1,?,1
74,'2019/05/12 08:41:17:215',2,514.884033,321.947662,56.657848,434.73587,321.59845,70.332359,398.265137,318.710266,71.854553,366.693939,318.984314,69.335678,338.236053,319.904907,63.835148,0,0,73.290031,178.881927,1.774843,-5.493243,?,?,?,?,?,?,1,?,1
75,'2019/05/12 08:41:17:266',2,514.875977,321.901855,56.656925,434.681396,321.547852,70.334892,398.310608,318.66391,71.860077,366.687958,318.967865,69.343643,338.277466,319.887817,63.845104,0,0,72.677658,178.867203,1.784786,-5.471128,?,?,?,?,?,?,1,?,1
76,'2019/05/12 08:41:17:315',2,514.606201,321.683807,56.533554,434.742371,321.233398,70.239349,398.366211,318.346191,71.775963,366.73349,318.65274,69.2705,338.217804,319.64093,63.7845,0,0,71.91188,178.874771,1.882687,-5.313571,?,?,?,?,?,?,1,?,1
77,'2019/05/12 08:41:17:366',2,514.430054,321.482544,56.457657,434.496277,321.015442,70.153931,398.057678,318.10849,71.683838,366.474396,318.423035,69.174599,338.040741,319.536255,63.691444,0,0,71.782005,178.851303,1.924844,-5.370362,?,?,?,?,?,?,1,?,1
78,'2019/05/12 08:41:17:415',2,514.213745,321.271637,56.423149,434.128052,320.836548,70.098175,397.578217,317.864258,71.613914,366.08429,318.238342,69.100349,337.778809,319.405518,63.61388,0,0,73.104973,178.836746,1.897797,-5.487803,?,?,?,?,?,?,1,?,1
79,'2019/05/12 08:41:17:466',2,514.054077,321.123657,56.415306,433.866241,320.721375,70.079506,397.273224,317.750671,71.590134,365.803711,318.086609,69.070549,337.562378,319.293762,63.583786,0,0,74.236603,178.839279,1.850901,-5.548073,?,?,?,?,?,?,1,?,1
80,'2019/05/12 08:41:17:515',2,514.006165,321.031128,56.409622,433.742126,320.634766,70.062271,397.157379,317.659149,71.568375,365.675964,317.995728,69.044594,337.493286,319.183929,63.553886,0,0,74.992851,178.851669,1.831856,-5.606071,?,?,?,?,?,?,1,?,1
81,'2019/05/12 08:41:17:565',2,513.856873,320.875916,56.373219,433.566101,320.440735,70.007736,396.961884,317.45636,71.506882,365.47113,317.813538,68.978508,337.369141,318.991028,63.482616,0,0,75.761284,178.885101,1.86501,-5.683901,?,?,?,?,?,?,1,?,1
82,'2019/05/12 08:41:17:614',2,513.730652,320.817261,56.346634,433.470947,320.347931,69.978836,396.838837,317.37085,71.477997,365.345123,317.694763,68.947937,337.308197,318.847351,63.451851,0,0,75.617126,178.923996,1.877774,-5.688061,?,?,?,?,?,?,1,?,1
83,'2019/05/12 08:41:17:667',2,513.555969,320.704651,56.318722,433.259827,320.232056,69.944611,396.590851,317.244568,71.440956,365.106232,317.56662,68.909355,337.112274,318.724091,63.412697,0,0,75.930847,178.942871,1.878539,-5.712387,?,?,?,?,?,?,1,?,1
84,'2019/05/12 08:41:17:714',2,513.482056,320.649475,56.300537,433.239288,320.128723,69.927986,396.583405,317.119049,71.42614,365.063232,317.440491,68.896866,337.093872,318.567383,63.401619,0,0,76.069778,179.006989,1.889789,-5.685482,?,?,?,?,?,?,1,?,1
85,'2019/05/12 08:41:17:765',2,513.453552,320.62915,56.299088,433.233093,320.063293,69.927307,396.571747,317.053711,71.426735,365.038818,317.340546,68.896675,337.106598,318.475525,63.403709,0,0,76.357399,179.038452,1.909015,-5.671189,?,?,?,?,?,?,1,?,1
86,'2019/05/12 08:41:17:814',2,513.450317,320.561096,56.303566,433.267029,319.969849,69.930458,396.576019,316.953796,71.430191,365.010071,317.271698,68.902573,337.155304,318.352539,63.408398,0,0,75.8964,179.066528,1.92736,-5.660468,?,?,?,?,?,?,1,?,1
87,'2019/05/12 08:41:17:864',2,513.425476,320.491272,56.302608,433.32901,319.864563,69.934448,396.626373,316.858032,71.437904,365.060852,317.152924,68.912476,337.178711,318.239716,63.421329,0,0,75.400299,179.100342,1.94982,-5.619386,?,?,?,?,?,?,1,?,1
